ID,Produto,Tamanho,Cor,Estoque
12,Vestido Aloha de Linho,Tamanho Único,Branco,10
12,Vestido Aloha de Linho,Tamanho Único,Azul Marinho,10
17,Vestido Aloha Viscosa,Tamanho Único,Bege,10
11,Vestido Saint Tropez,Tamanho Único,Branco,10
13,Vestido Mahalo,Tamanho Único,Branco,10
14,Vestidao Kuta,Tamanho Único,Branco,10
15,Chemisse Dulu Classic,Tamanho Único,Verde,10
15,Chemisse Dulu Classic,Tamanho Único,Bege,10
15,Chemisse Dulu Classic,Tamanho Único,Bordô,10
10,Chemisse Wave de Linho,Tamanho Único,Azul Listrado,10
10,Chemisse Wave de Linho,Tamanho Único,Branco,10
10,Chemisse Wave de Linho,Tamanho Único,Azul Marinho,10
10,Chemisse Wave de Linho,Tamanho Único,Bege,10
9,Chemisse Wave Algodao Listrado,Tamanho Único,Celeste Listrado,10
9,Chemisse Wave Algodao Listrado,Tamanho Único,Bege Listrado,10
7,Chemisse Wave Voil Viscosa,Tamanho Único,Azul Stoneado,10
7,Chemisse Wave Voil Viscosa,Tamanho Único,Branco,10
7,Chemisse Wave Voil Viscosa,Tamanho Único,Celeste,10
3,Calca Summer,P/M,Branca,10
3,Calca Summer,M/G,Branca,10
16,Calca Dulu de Linho,Tamanho Único,Azul Marinho,10
16,Calca Dulu de Linho,Tamanho Único,Branco,10
1,Macacão Dulu,Tamanho Único,Branco,10
20,Macacao Dulu Viscosa,Tamanho Único,Marrom Chocolate,10
2,Saia Mahalo,Tamanho Único,Verde Maçã,10
2,Saia Mahalo,Tamanho Único,Verde Seco,10
2,Saia Mahalo,Tamanho Único,Rosa Velho,10
2,Saia Mahalo,Tamanho Único,Bege Claro,10
2,Saia Mahalo,Tamanho Único,Cinza,10
2,Saia Mahalo,Tamanho Único,Azul Stoneado,10
4,Camisa Wave,M,Branca,10
21,Camisa Pontas,Tamanho Único,Bege Chocolate,10
21,Camisa Pontas,Tamanho Único,Azul Stoneado,10
21,Camisa Pontas,Tamanho Único,Azul Jeans,10
21,Camisa Pontas,Tamanho Único,Verde Seco,10
6,Camisa Marcela De Linho,Tamanho Único,Verde Seco,10
6,Camisa Marcela De Linho,Tamanho Único,Azul Marinho,10
18,Faixa Mahalo,Tamanho Único,Bege,10
13,Vestido Mahalo,Tamanho Único,Azul Stoneado Mediterraneo,10
21,Camisa Pontas,Tamanho Único,Verde Maçã,10
21,Camisa Pontas,Tamanho Único,Celeste Turquesa,10
1,Macacão Dulu,Tamanho Único,Azul Marinho,10
2,Saia Mahalo,Tamanho Único,Marron Abano,10
6,Camisa Marcela De Linho,Tamanho Único,Verde Oliva,10
